F,G,H,I,J,O
Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,<=50K
Married-civ-spouse,Craft-repair,Wife,White,Female,>50K
Divorced,Prof-specialty,Unmarried,White,Female,<=50K
Never-married,Craft-repair,Unmarried,Black,Male,<=50K
Divorced,Other-service,Unmarried,White,Female,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Never-married,Prof-specialty,Own-child,White,Female,<=50K
Never-married,Adm-clerical,Unmarried,Black,Female,<=50K
Married-civ-spouse,Sales,Husband,White,Male,>50K
Married-civ-spouse,Sales,Husband,White,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Divorced,Adm-clerical,Unmarried,White,Female,<=50K
Separated,Machine-op-inspct,Unmarried,White,Female,<=50K
Married-civ-spouse,Sales,Husband,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Never-married,Exec-managerial,Not-in-family,White,Female,<=50K
Never-married,Adm-clerical,Unmarried,White,Female,<=50K
Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,>50K
Married-civ-spouse,Tech-support,Husband,White,Male,>50K
Never-married,Sales,Not-in-family,White,Male,>50K
Never-married,Machine-op-inspct,Other-relative,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Never-married,Prof-specialty,Not-in-family,White,Female,<=50K
Never-married,Adm-clerical,Not-in-family,White,Male,<=50K
Separated,Prof-specialty,Not-in-family,White,Male,>50K
Never-married,Adm-clerical,Own-child,White,Female,<=50K
Never-married,Craft-repair,Not-in-family,White,Male,<=50K
Never-married,Exec-managerial,Own-child,White,Female,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Never-married,Sales,Own-child,White,Female,<=50K
Never-married,Craft-repair,Other-relative,Amer-Indian-Eskimo,Male,>50K
Divorced,Transport-moving,Not-in-family,White,Male,<=50K
Separated,Other-service,Not-in-family,White,Female,<=50K
Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,>50K
Separated,Sales,Not-in-family,Amer-Indian-Eskimo,Female,<=50K
Married-civ-spouse,Protective-serv,Husband,White,Male,>50K
Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Widowed,Other-service,Not-in-family,Black,Female,<=50K
Married-civ-spouse,Farming-fishing,Wife,White,Female,<=50K
Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,<=50K
Married-civ-spouse,Protective-serv,Husband,White,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Never-married,Prof-specialty,Not-in-family,Black,Male,>50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,<=50K
Married-civ-spouse,Sales,Husband,White,Male,<=50K
Married-civ-spouse,Other-service,Husband,White,Male,<=50K
Never-married,Protective-serv,Not-in-family,White,Male,<=50K
Never-married,Protective-serv,Not-in-family,Amer-Indian-Eskimo,Male,<=50K
Married-civ-spouse,Other-service,Wife,Black,Female,>50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
Separated,Other-service,Unmarried,Black,Female,<=50K
Married-civ-spouse,Prof-specialty,Wife,White,Female,>50K
Married-civ-spouse,noValueSetHere123156456,Own-child,White,Female,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Never-married,Protective-serv,Own-child,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Divorced,Other-service,Unmarried,White,Female,<=50K
Married-civ-spouse,Sales,Husband,White,Male,<=50K
Divorced,Other-service,Unmarried,White,Female,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
Never-married,Prof-specialty,Own-child,White,Female,<=50K
Never-married,noValueSetHere123156456,Own-child,White,Male,<=50K
Never-married,Handlers-cleaners,Not-in-family,White,Male,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Widowed,Exec-managerial,Not-in-family,White,Female,<=50K
Never-married,Exec-managerial,Not-in-family,White,Female,<=50K
Married-spouse-absent,Adm-clerical,Other-relative,White,Female,<=50K
Never-married,Adm-clerical,Not-in-family,Black,Female,<=50K
Divorced,Adm-clerical,Not-in-family,Black,Female,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Divorced,Craft-repair,Not-in-family,White,Male,<=50K
Never-married,Machine-op-inspct,Not-in-family,White,Male,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,<=50K
Never-married,Craft-repair,Not-in-family,Black,Male,<=50K
Never-married,noValueSetHere123156456,Own-child,White,Female,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Divorced,Exec-managerial,Not-in-family,White,Male,>50K
Divorced,Other-service,Not-in-family,White,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,Black,Male,>50K
Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Married-civ-spouse,Sales,Husband,White,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Widowed,Exec-managerial,Unmarried,White,Male,>50K
Never-married,Prof-specialty,Not-in-family,White,Male,<=50K
Never-married,Exec-managerial,Own-child,White,Male,<=50K
Never-married,Craft-repair,Not-in-family,White,Male,<=50K
Divorced,Other-service,Unmarried,White,Female,<=50K
Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
Never-married,Craft-repair,Not-in-family,White,Male,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Divorced,Machine-op-inspct,Not-in-family,Black,Male,<=50K
Married-civ-spouse,Tech-support,Wife,White,Female,>50K
Never-married,Machine-op-inspct,Unmarried,Black,Female,<=50K
Married-civ-spouse,Exec-managerial,Wife,White,Female,>50K
Married-civ-spouse,Prof-specialty,Wife,White,Female,>50K
Married-civ-spouse,Other-service,Husband,White,Male,<=50K
Married-spouse-absent,noValueSetHere123156456,Not-in-family,White,Male,<=50K
Married-civ-spouse,Adm-clerical,Husband,White,Male,>50K
Divorced,noValueSetHere123156456,Not-in-family,White,Male,<=50K
Divorced,Adm-clerical,Unmarried,Black,Male,<=50K
Never-married,Exec-managerial,Not-in-family,White,Male,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Never-married,Handlers-cleaners,Own-child,White,Male,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,<=50K
Never-married,noValueSetHere123156456,Own-child,White,Male,<=50K
Never-married,Tech-support,Not-in-family,White,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Never-married,Exec-managerial,Not-in-family,White,Female,<=50K
Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50K
Widowed,Adm-clerical,Unmarried,White,Female,<=50K
Never-married,Other-service,Not-in-family,White,Female,<=50K
Never-married,Adm-clerical,Own-child,White,Female,<=50K
Widowed,Priv-house-serv,Not-in-family,White,Female,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Married-spouse-absent,noValueSetHere123156456,Not-in-family,White,Male,<=50K
Divorced,Tech-support,Unmarried,White,Female,<=50K
Divorced,Craft-repair,Not-in-family,Black,Male,<=50K
Divorced,Transport-moving,Not-in-family,White,Male,<=50K
Never-married,Adm-clerical,Own-child,White,Male,<=50K
Never-married,Other-service,Not-in-family,White,Male,<=50K
Married-civ-spouse,Machine-op-inspct,Wife,White,Female,<=50K
Divorced,Prof-specialty,Unmarried,Black,Female,<=50K
Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
Never-married,Protective-serv,Own-child,Amer-Indian-Eskimo,Male,<=50K
Never-married,Machine-op-inspct,Not-in-family,Other,Male,<=50K
Divorced,Adm-clerical,Unmarried,Black,Female,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,Black,Male,>50K
Never-married,Adm-clerical,Own-child,White,Female,<=50K
Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50K
Never-married,Exec-managerial,Not-in-family,White,Male,<=50K
Never-married,Prof-specialty,Own-child,White,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Separated,Sales,Unmarried,White,Female,<=50K
Never-married,Prof-specialty,Not-in-family,White,Female,>50K
Married-civ-spouse,Transport-moving,Husband,White,Male,>50K
Never-married,Other-service,Own-child,White,Male,<=50K
Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
Never-married,Exec-managerial,Not-in-family,White,Male,<=50K
Never-married,Exec-managerial,Not-in-family,White,Male,>50K
Divorced,Adm-clerical,Unmarried,White,Female,<=50K
Never-married,Prof-specialty,Not-in-family,White,Female,>50K
Never-married,noValueSetHere123156456,Own-child,Black,Female,<=50K
Married-civ-spouse,Other-service,Husband,White,Male,<=50K
Married-civ-spouse,Other-service,Husband,White,Male,>50K
Never-married,Machine-op-inspct,Not-in-family,White,Male,<=50K
Married-civ-spouse,Farming-fishing,Husband,White,Male,>50K
Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
Separated,Craft-repair,Not-in-family,Black,Male,<=50K
Divorced,Sales,Not-in-family,White,Female,<=50K
Married-civ-spouse,Sales,Husband,White,Male,>50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Divorced,Other-service,Not-in-family,White,Female,<=50K
Never-married,Sales,Not-in-family,White,Female,<=50K
Married-civ-spouse,Priv-house-serv,Wife,Black,Female,<=50K
Never-married,Craft-repair,Not-in-family,White,Male,<=50K
Married-civ-spouse,Adm-clerical,Other-relative,White,Female,<=50K
Divorced,Sales,Unmarried,Black,Male,<=50K
Married-spouse-absent,Transport-moving,Other-relative,White,Female,<=50K
Divorced,Sales,Not-in-family,White,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Never-married,Adm-clerical,Own-child,White,Female,<=50K
Married-spouse-absent,Other-service,Unmarried,White,Female,<=50K
Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
Never-married,Adm-clerical,Unmarried,Black,Female,<=50K
Never-married,Other-service,Own-child,White,Female,<=50K
Married-civ-spouse,Sales,Husband,White,Male,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50K
Never-married,Prof-specialty,Not-in-family,White,Female,<=50K
Divorced,Transport-moving,Not-in-family,White,Male,<=50K
Never-married,Exec-managerial,Not-in-family,White,Female,<=50K
Married-civ-spouse,Transport-moving,Husband,White,Male,>50K
Separated,Sales,Unmarried,Black,Female,<=50K
Never-married,noValueSetHere123156456,Not-in-family,White,Female,<=50K
Divorced,Transport-moving,Not-in-family,White,Male,<=50K
Married-civ-spouse,Sales,Husband,White,Male,>50K
Divorced,Priv-house-serv,Not-in-family,White,Female,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Never-married,Adm-clerical,Not-in-family,White,Male,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Married-civ-spouse,noValueSetHere123156456,Wife,White,Female,>50K
Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Divorced,Adm-clerical,Not-in-family,White,Male,<=50K
Married-civ-spouse,Sales,Husband,White,Male,>50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Never-married,Other-service,Own-child,White,Male,<=50K
Never-married,Craft-repair,Own-child,White,Male,<=50K
Never-married,Sales,Unmarried,White,Male,>50K
Divorced,Adm-clerical,Not-in-family,White,Female,<=50K
Never-married,Adm-clerical,Not-in-family,White,Male,<=50K
Never-married,Protective-serv,Own-child,White,Male,<=50K
Never-married,Exec-managerial,Other-relative,White,Male,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,<=50K
Divorced,Exec-managerial,Unmarried,White,Male,<=50K
Never-married,Adm-clerical,Not-in-family,White,Male,<=50K
Widowed,Tech-support,Unmarried,White,Female,<=50K
Divorced,Adm-clerical,Unmarried,White,Female,<=50K
Never-married,Prof-specialty,Not-in-family,White,Female,<=50K
Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
Never-married,Adm-clerical,Own-child,White,Female,<=50K
Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
Never-married,Other-service,Own-child,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,White,Male,>50K
Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Married-civ-spouse,Sales,Husband,White,Male,>50K
Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,<=50K
Divorced,Adm-clerical,Unmarried,White,Male,<=50K
Separated,Transport-moving,Unmarried,White,Male,<=50K
Never-married,Transport-moving,Not-in-family,White,Male,<=50K
Widowed,Craft-repair,Not-in-family,White,Male,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Divorced,Transport-moving,Not-in-family,White,Male,<=50K
Never-married,Adm-clerical,Own-child,Black,Female,<=50K
Married-spouse-absent,Adm-clerical,Own-child,Other,Female,<=50K
Never-married,Adm-clerical,Own-child,White,Female,<=50K
Married-civ-spouse,Sales,Husband,White,Male,<=50K
Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
Married-civ-spouse,Sales,Husband,White,Male,>50K
Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Divorced,Machine-op-inspct,Unmarried,White,Female,<=50K
Divorced,Other-service,Not-in-family,White,Male,<=50K
Divorced,Exec-managerial,Not-in-family,White,Female,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Never-married,Other-service,Not-in-family,White,Female,>50K
Married-spouse-absent,Farming-fishing,Not-in-family,White,Female,>50K
Never-married,Adm-clerical,Other-relative,Black,Male,<=50K
Divorced,Exec-managerial,Unmarried,White,Female,<=50K
Widowed,Farming-fishing,Unmarried,White,Female,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Never-married,Handlers-cleaners,Own-child,Black,Female,<=50K
Married-civ-spouse,Sales,Husband,White,Male,<=50K
Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
Never-married,Handlers-cleaners,Own-child,White,Male,<=50K
Never-married,Sales,Own-child,White,Male,<=50K
Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
Never-married,Craft-repair,Own-child,White,Male,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,<=50K
Never-married,Adm-clerical,Not-in-family,White,Male,<=50K
Married-spouse-absent,Prof-specialty,Unmarried,White,Female,<=50K
Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,<=50K
Never-married,Tech-support,Not-in-family,White,Female,<=50K
Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,>50K
Separated,Other-service,Not-in-family,Black,Female,<=50K
Never-married,Other-service,Own-child,White,Female,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Never-married,Adm-clerical,Own-child,White,Female,<=50K
Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
Married-civ-spouse,Exec-managerial,Other-relative,White,Male,<=50K
Never-married,Prof-specialty,Not-in-family,White,Female,<=50K
Never-married,Exec-managerial,Not-in-family,White,Male,<=50K
Never-married,Exec-managerial,Other-relative,White,Female,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Never-married,Sales,Not-in-family,White,Female,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Never-married,Prof-specialty,Not-in-family,White,Female,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Never-married,Tech-support,Not-in-family,White,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Married-civ-spouse,Other-service,Husband,White,Male,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Never-married,Tech-support,Not-in-family,White,Male,<=50K
Never-married,noValueSetHere123156456,Own-child,White,Male,<=50K
Married-civ-spouse,Protective-serv,Husband,White,Male,<=50K
Married-civ-spouse,Sales,Husband,White,Male,>50K
Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,<=50K
Never-married,Exec-managerial,Own-child,White,Female,<=50K
Never-married,Adm-clerical,Own-child,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
Never-married,Adm-clerical,Own-child,White,Male,<=50K
Never-married,Prof-specialty,Not-in-family,White,Female,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Married-civ-spouse,Other-service,Husband,White,Male,<=50K
Widowed,Other-service,Not-in-family,White,Female,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Never-married,Exec-managerial,Not-in-family,White,Male,<=50K
Widowed,noValueSetHere123156456,Not-in-family,White,Female,<=50K
Divorced,Craft-repair,Not-in-family,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Never-married,Machine-op-inspct,Unmarried,Black,Female,<=50K
Never-married,noValueSetHere123156456,Own-child,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,<=50K
Never-married,Prof-specialty,Not-in-family,White,Male,>50K
Married-civ-spouse,Transport-moving,Husband,Other,Male,<=50K
Never-married,Adm-clerical,Own-child,White,Female,<=50K
Divorced,Other-service,Unmarried,White,Female,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
Never-married,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,<=50K
Never-married,Sales,Own-child,White,Female,<=50K
Married-civ-spouse,noValueSetHere123156456,Wife,White,Female,<=50K
Never-married,Prof-specialty,Own-child,White,Female,<=50K
