RUQO2,HypoxiaInO2,Grunting,LowerBodyO2,HypDistrib,CardiacMixing,LungParench
5-12,Moderate,no,5-12,Equal,Complete,Normal
<5,Severe,no,<5,Unequal,Mild,Congested
12+,Moderate,no,5-12,Equal,Complete,Normal
5-12,Severe,yes,5-12,Equal,Transp.,Abnormal
5-12,Moderate,no,5-12,Equal,Complete,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
12+,Severe,no,<5,Equal,Transp.,Normal
12+,Severe,no,5-12,Equal,Transp.,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
<5,Moderate,yes,5-12,Equal,Complete,Abnormal
5-12,Moderate,no,5-12,Equal,Mild,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
5-12,Severe,no,<5,Equal,Complete,Normal
12+,Mild,no,12+,Equal,Complete,Normal
5-12,Mild,no,12+,Equal,Complete,Congested
5-12,Moderate,yes,5-12,Equal,Complete,Abnormal
<5,Severe,no,<5,Equal,Complete,Normal
<5,Moderate,no,5-12,Equal,Complete,Normal
<5,Severe,no,<5,Equal,Transp.,Normal
5-12,Moderate,no,5-12,Equal,Mild,Normal
5-12,Moderate,no,5-12,Unequal,Mild,Normal
5-12,Severe,no,5-12,Equal,Complete,Normal
12+,Mild,no,5-12,Equal,,Normal
<5,Moderate,no,5-12,Equal,Complete,Normal
5-12,Severe,no,5-12,Equal,Transp.,Normal
5-12,Moderate,no,5-12,Unequal,,Congested
12+,Moderate,no,<5,Equal,Complete,Normal
5-12,Moderate,no,<5,Equal,Complete,Normal
<5,Moderate,no,5-12,Equal,Mild,Normal
<5,Severe,no,<5,Equal,Transp.,Normal
5-12,Moderate,no,5-12,Equal,Transp.,Normal
5-12,Severe,no,<5,Equal,Transp.,Normal
5-12,Severe,yes,5-12,Equal,Transp.,Normal
5-12,Moderate,yes,5-12,Equal,Complete,Normal
<5,Moderate,yes,5-12,Equal,Complete,Abnormal
5-12,Severe,no,5-12,Equal,Complete,Congested
12+,Severe,no,5-12,Equal,Transp.,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
<5,Severe,no,<5,Equal,Transp.,Normal
<5,Severe,no,<5,Equal,Transp.,Normal
<5,Severe,no,5-12,Equal,Transp.,Normal
<5,Moderate,yes,<5,Unequal,Mild,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
<5,Severe,yes,<5,Unequal,,Congested
12+,Moderate,yes,5-12,Equal,Complete,Normal
12+,Moderate,no,<5,Equal,Complete,Normal
5-12,Severe,no,<5,Equal,Transp.,Abnormal
<5,Severe,no,<5,Equal,Complete,Normal
5-12,Moderate,no,<5,Equal,Complete,Normal
5-12,Moderate,no,<5,Equal,Complete,Normal
<5,Severe,yes,5-12,Equal,Transp.,Normal
12+,Moderate,yes,5-12,Equal,Complete,Abnormal
<5,Moderate,no,5-12,Equal,Complete,Normal
<5,Moderate,no,12+,Equal,Complete,Normal
12+,Moderate,no,5-12,Equal,Complete,Congested
5-12,Moderate,no,<5,Equal,Mild,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
<5,Severe,yes,5-12,Equal,Transp.,Abnormal
<5,Severe,no,12+,Equal,Transp.,Normal
5-12,Moderate,yes,<5,Equal,Complete,Congested
5-12,Moderate,no,<5,Unequal,Mild,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
<5,Moderate,no,5-12,Equal,Complete,Normal
<5,Moderate,no,5-12,Equal,Transp.,Normal
<5,Moderate,yes,12+,Equal,Complete,Abnormal
12+,Severe,no,5-12,Equal,Transp.,Normal
5-12,Severe,no,12+,Equal,Transp.,Normal
5-12,Moderate,no,<5,Equal,Complete,Normal
<5,Moderate,no,5-12,Equal,Complete,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
5-12,Severe,yes,<5,Equal,Complete,Abnormal
5-12,Moderate,no,5-12,Equal,Complete,Congested
5-12,Severe,no,5-12,Equal,Complete,Normal
<5,Moderate,no,5-12,Equal,Complete,Normal
5-12,Moderate,yes,5-12,Equal,Complete,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
<5,Severe,yes,<5,Equal,Transp.,Abnormal
5-12,Moderate,no,<5,Equal,Complete,Normal
<5,Severe,yes,<5,Unequal,,Abnormal
<5,Severe,no,<5,Equal,Transp.,Normal
12+,Severe,no,<5,Equal,Transp.,Normal
12+,Moderate,no,<5,Equal,Complete,Normal
5-12,Moderate,no,12+,Equal,Mild,Normal
12+,Severe,no,5-12,Equal,Transp.,Normal
<5,Severe,no,<5,Equal,Transp.,Normal
5-12,Moderate,no,<5,Equal,Complete,Normal
<5,Severe,no,<5,Equal,Complete,Normal
5-12,Moderate,no,<5,Equal,Complete,Normal
<5,Severe,no,5-12,Equal,Transp.,Normal
<5,Severe,no,<5,Equal,Transp.,Congested
5-12,Moderate,yes,<5,Equal,Mild,Abnormal
5-12,Moderate,no,12+,Equal,Complete,Normal
12+,Moderate,no,<5,Equal,Complete,Normal
5-12,Moderate,no,5-12,Unequal,Complete,Normal
5-12,Moderate,no,<5,Equal,Complete,Normal
5-12,Moderate,no,5-12,Unequal,Complete,Normal
5-12,Severe,no,<5,Equal,Complete,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
5-12,Moderate,no,<5,Unequal,,Congested
5-12,Moderate,no,5-12,Equal,Complete,Normal
5-12,Moderate,yes,5-12,Equal,Complete,Abnormal
<5,Severe,yes,12+,Equal,Transp.,Abnormal
<5,Severe,no,5-12,Equal,Complete,Normal
<5,Severe,no,<5,Unequal,Transp.,Normal
<5,Severe,yes,5-12,Equal,Complete,Congested
<5,Severe,no,5-12,Equal,Transp.,Normal
<5,Severe,yes,5-12,Equal,Complete,Abnormal
<5,Moderate,no,5-12,Equal,Complete,Normal
5-12,Severe,no,5-12,Equal,Transp.,Normal
<5,Severe,no,5-12,Equal,Transp.,Normal
12+,Mild,no,12+,Equal,Complete,Normal
5-12,Severe,no,5-12,Equal,Complete,Normal
5-12,Severe,no,5-12,Equal,Transp.,Normal
5-12,Moderate,no,5-12,Equal,Mild,Normal
12+,Moderate,no,<5,Equal,Mild,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
5-12,Moderate,no,<5,Equal,Complete,Normal
<5,Moderate,yes,5-12,Equal,Complete,Normal
12+,Mild,yes,5-12,Unequal,,Abnormal
5-12,Moderate,no,5-12,Equal,Complete,Normal
<5,Severe,no,<5,Equal,Transp.,Normal
5-12,Moderate,no,5-12,Equal,,Congested
5-12,Severe,yes,<5,Equal,Complete,Abnormal
5-12,Moderate,no,5-12,Equal,Complete,Congested
<5,Moderate,no,5-12,Equal,Complete,Normal
5-12,Severe,no,<5,Unequal,Complete,Normal
5-12,Moderate,yes,5-12,Equal,Complete,Abnormal
<5,Severe,yes,<5,Unequal,Complete,Normal
<5,Severe,no,<5,Equal,Complete,Normal
<5,Moderate,no,<5,Unequal,Complete,Normal
5-12,Moderate,no,12+,Equal,Complete,Normal
<5,Severe,no,5-12,Equal,Transp.,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
12+,Mild,no,5-12,Unequal,,Normal
<5,Moderate,yes,<5,Equal,Complete,Congested
5-12,Moderate,no,5-12,Equal,Complete,Normal
<5,Moderate,no,5-12,Equal,Complete,Normal
<5,Severe,no,<5,Equal,Complete,Normal
12+,Mild,yes,12+,Unequal,,Abnormal
<5,Severe,no,12+,Equal,Transp.,Abnormal
12+,Mild,no,5-12,Unequal,,Normal
<5,Severe,no,<5,Equal,Transp.,Normal
<5,Mild,no,12+,Equal,,Normal
<5,Moderate,no,5-12,Equal,Mild,Congested
5-12,Moderate,no,5-12,Equal,Complete,Abnormal
<5,Moderate,no,<5,Unequal,Complete,Normal
<5,Moderate,no,5-12,Equal,Complete,Normal
12+,Mild,yes,<5,Unequal,,Abnormal
5-12,Moderate,no,<5,Equal,Complete,Congested
<5,Severe,no,<5,Equal,Transp.,Normal
<5,Severe,no,5-12,Equal,Transp.,Normal
<5,Moderate,no,<5,Equal,Complete,Congested
5-12,Moderate,no,5-12,Equal,Complete,Normal
<5,Moderate,no,<5,Equal,Mild,Normal
<5,Severe,no,<5,Equal,Transp.,Normal
5-12,Moderate,yes,5-12,Equal,Complete,Abnormal
5-12,Moderate,yes,5-12,Equal,Complete,Congested
5-12,Moderate,no,5-12,Equal,Mild,Normal
5-12,Moderate,no,5-12,Equal,,Congested
5-12,Severe,no,5-12,Equal,Mild,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
<5,Moderate,no,5-12,Equal,Complete,Normal
5-12,Moderate,no,5-12,Equal,Complete,Congested
5-12,Moderate,no,<5,Equal,Complete,Normal
5-12,Moderate,yes,5-12,Equal,Mild,Abnormal
<5,Moderate,no,<5,Equal,Complete,Normal
<5,Severe,no,5-12,Equal,Transp.,Normal
5-12,Moderate,yes,5-12,Equal,Complete,Normal
12+,Moderate,no,<5,Unequal,Mild,Normal
<5,Severe,no,<5,Equal,Transp.,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
5-12,Moderate,no,12+,Equal,Complete,Normal
<5,Moderate,no,<5,Equal,Transp.,Normal
5-12,Severe,no,5-12,Equal,Transp.,Normal
<5,Severe,yes,5-12,Equal,Complete,Abnormal
5-12,Severe,yes,5-12,Equal,Transp.,Normal
<5,Severe,no,<5,Equal,Transp.,Normal
<5,Severe,yes,5-12,Equal,Complete,Abnormal
<5,Severe,no,<5,Equal,Transp.,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
12+,Moderate,no,12+,Equal,Mild,Normal
12+,Mild,no,12+,Equal,Complete,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
<5,Severe,no,<5,Equal,Transp.,Normal
12+,Moderate,no,<5,Equal,Transp.,Congested
5-12,Moderate,yes,5-12,Equal,Mild,Normal
<5,Moderate,no,5-12,Unequal,Complete,Normal
<5,Moderate,no,5-12,Equal,Mild,Normal
5-12,Moderate,no,12+,Equal,Complete,Normal
<5,Severe,yes,<5,Equal,Transp.,Normal
5-12,Moderate,no,<5,Equal,Mild,Normal
12+,Mild,yes,5-12,Unequal,,Abnormal
5-12,Severe,no,<5,Equal,Complete,Abnormal
12+,Moderate,no,5-12,Equal,Complete,Normal
<5,Severe,no,5-12,Equal,Complete,Normal
5-12,Moderate,yes,5-12,Equal,Complete,Congested
5-12,Moderate,yes,<5,Equal,Complete,Congested
5-12,Severe,no,<5,Equal,Complete,Normal
<5,Moderate,no,<5,Equal,Complete,Normal
5-12,Mild,yes,12+,Equal,Mild,Abnormal
5-12,Severe,no,<5,Equal,Transp.,Normal
5-12,Moderate,yes,12+,Equal,Complete,Abnormal
5-12,Severe,no,<5,Equal,Transp.,Normal
<5,Moderate,no,<5,Equal,Complete,Normal
<5,Severe,no,<5,Equal,Transp.,Normal
5-12,Moderate,yes,<5,Equal,Complete,Normal
12+,Mild,no,12+,Equal,,Normal
<5,Mild,no,12+,Equal,Complete,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
<5,Severe,no,<5,Equal,Transp.,Normal
5-12,Moderate,no,5-12,Unequal,Mild,Normal
<5,Moderate,no,<5,Unequal,Mild,Normal
5-12,Moderate,no,<5,Unequal,Complete,Normal
<5,Severe,yes,5-12,Equal,Transp.,Normal
12+,Severe,no,12+,Equal,Transp.,Normal
<5,Moderate,no,5-12,Equal,Complete,Normal
<5,Severe,no,5-12,Equal,Transp.,Normal
<5,Moderate,no,12+,Equal,Complete,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
12+,Mild,no,<5,Unequal,Complete,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
12+,Severe,no,5-12,Equal,Transp.,Normal
5-12,Severe,no,<5,Equal,Complete,Normal
5-12,Moderate,no,5-12,Equal,Mild,Congested
12+,Mild,no,<5,Unequal,,Normal
<5,Moderate,no,5-12,Equal,Complete,Normal
5-12,Moderate,no,<5,Equal,Complete,Normal
5-12,Severe,no,5-12,Equal,Transp.,Congested
5-12,Moderate,no,5-12,Equal,Complete,Abnormal
<5,Severe,yes,<5,Unequal,Mild,Abnormal
<5,Moderate,no,<5,Equal,Complete,Normal
<5,Moderate,no,5-12,Equal,Complete,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
<5,Moderate,no,<5,Equal,Complete,Normal
5-12,Moderate,yes,5-12,Equal,Complete,Normal
<5,Moderate,no,5-12,Equal,Complete,Normal
<5,Moderate,no,5-12,Equal,Transp.,Normal
5-12,Moderate,no,<5,Equal,Complete,Normal
5-12,Moderate,yes,5-12,Equal,Complete,Abnormal
<5,Severe,no,12+,Equal,Transp.,Normal
<5,Moderate,no,5-12,Equal,Complete,Normal
12+,Mild,no,12+,Equal,Complete,Normal
5-12,Moderate,no,<5,Equal,Complete,Normal
5-12,Mild,no,12+,Equal,Complete,Normal
<5,Moderate,no,<5,Equal,Mild,Normal
<5,Mild,no,5-12,Equal,Complete,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
5-12,Moderate,no,<5,Equal,Complete,Normal
<5,Severe,no,<5,Equal,Transp.,Normal
<5,Moderate,no,5-12,Equal,Complete,Abnormal
5-12,Severe,no,5-12,Equal,Transp.,Normal
5-12,Moderate,no,5-12,Unequal,Complete,Normal
<5,Severe,no,<5,Equal,Transp.,Normal
<5,Severe,no,5-12,Equal,Transp.,Normal
5-12,Mild,yes,12+,Equal,Complete,Normal
5-12,Severe,no,<5,Equal,Complete,Congested
<5,Severe,no,5-12,Equal,Transp.,Normal
<5,Moderate,yes,5-12,Equal,Complete,Abnormal
5-12,Moderate,no,<5,Equal,Complete,Normal
<5,Severe,no,12+,Equal,Complete,Normal
12+,Moderate,no,12+,Equal,Complete,Normal
5-12,Moderate,no,5-12,Equal,Transp.,Normal
5-12,Severe,no,5-12,Equal,Transp.,Normal
<5,Moderate,yes,12+,Unequal,Mild,Abnormal
<5,Moderate,no,5-12,Equal,Complete,Normal
<5,Severe,no,5-12,Equal,Transp.,Normal
5-12,Moderate,no,12+,Equal,Complete,Normal
5-12,Mild,no,12+,Equal,Transp.,Normal
5-12,Severe,no,5-12,Equal,Complete,Congested
12+,Severe,no,5-12,Equal,Transp.,Normal
5-12,Moderate,yes,12+,Equal,Transp.,Congested
5-12,Moderate,no,<5,Unequal,Transp.,Normal
<5,Severe,no,<5,Equal,Transp.,Normal
12+,Severe,no,5-12,Equal,Transp.,Normal
12+,Mild,yes,5-12,Unequal,,Abnormal
<5,Moderate,no,5-12,Equal,Complete,Normal
12+,Mild,no,12+,Equal,,Normal
5-12,Moderate,no,5-12,Equal,Mild,Normal
12+,Moderate,no,5-12,Equal,Mild,Normal
5-12,Moderate,yes,5-12,Unequal,Complete,Normal
<5,Moderate,no,12+,Equal,Mild,Normal
12+,Moderate,no,5-12,Equal,Transp.,Normal
<5,Severe,no,<5,Equal,Transp.,Normal
<5,Severe,no,<5,Equal,Complete,Normal
5-12,Severe,no,5-12,Equal,Complete,Normal
<5,Severe,no,12+,Equal,Transp.,Normal
12+,Mild,no,12+,Equal,Complete,Normal
<5,Severe,no,<5,Equal,Transp.,Normal
<5,Severe,no,12+,Equal,Complete,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
5-12,Severe,no,5-12,Equal,Complete,Normal
12+,Mild,no,12+,Unequal,,Normal
<5,Severe,yes,5-12,Equal,Complete,Abnormal
5-12,Severe,yes,5-12,Equal,Transp.,Abnormal
5-12,Moderate,no,<5,Equal,Mild,Abnormal
<5,Severe,yes,<5,Equal,Complete,Abnormal
<5,Moderate,no,12+,Equal,Complete,Normal
<5,Severe,no,<5,Equal,,Abnormal
<5,Moderate,yes,5-12,Equal,Complete,Congested
<5,Moderate,no,<5,Equal,Complete,Normal
5-12,Severe,yes,<5,Equal,Complete,Abnormal
12+,Mild,no,5-12,Equal,,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
<5,Severe,no,5-12,Equal,Transp.,Normal
12+,Moderate,no,5-12,Equal,Mild,Normal
5-12,Moderate,no,<5,Equal,Complete,Abnormal
5-12,Moderate,yes,5-12,Equal,Mild,Abnormal
<5,Severe,no,5-12,Equal,Transp.,Normal
<5,Moderate,no,5-12,Equal,,Congested
<5,Moderate,no,5-12,Equal,Complete,Normal
<5,Severe,no,12+,Equal,Transp.,Normal
5-12,Moderate,yes,12+,Equal,Complete,Normal
5-12,Severe,yes,12+,Equal,Transp.,Abnormal
5-12,Moderate,yes,12+,Equal,Complete,Abnormal
5-12,Moderate,no,5-12,Equal,Transp.,Normal
5-12,Severe,no,<5,Equal,Complete,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
<5,Severe,no,<5,Equal,Complete,Normal
<5,Severe,no,5-12,Unequal,Transp.,Congested
<5,Moderate,yes,5-12,Equal,Complete,Normal
<5,Moderate,no,5-12,Equal,Complete,Normal
5-12,Severe,no,5-12,Equal,Transp.,Normal
5-12,Moderate,yes,5-12,Equal,Complete,Abnormal
5-12,Severe,no,12+,Equal,Complete,Normal
<5,Moderate,yes,<5,Equal,Complete,Abnormal
5-12,Moderate,yes,5-12,Equal,Complete,Abnormal
5-12,Moderate,yes,5-12,Equal,Transp.,Abnormal
<5,Moderate,no,<5,Unequal,Transp.,Normal
12+,Moderate,no,<5,Equal,Complete,Normal
<5,Severe,no,<5,Equal,Transp.,Normal
<5,Moderate,no,<5,Equal,Complete,Normal
12+,Moderate,no,5-12,Equal,Complete,Normal
<5,Severe,no,5-12,Equal,Complete,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
5-12,Moderate,no,<5,Equal,Transp.,Congested
<5,Severe,no,<5,Equal,Transp.,Normal
5-12,Severe,no,12+,Equal,Transp.,Normal
5-12,Moderate,no,<5,Equal,Complete,Congested
12+,Mild,no,5-12,Equal,Mild,Normal
<5,Severe,yes,<5,Equal,Transp.,Normal
<5,Moderate,no,5-12,Equal,Mild,Normal
<5,Severe,no,<5,Equal,Complete,Normal
<5,Moderate,no,5-12,Equal,Mild,Normal
12+,Mild,yes,12+,Equal,Complete,Normal
<5,Severe,no,<5,Equal,Complete,Normal
12+,Severe,no,5-12,Equal,Transp.,Normal
<5,Moderate,no,5-12,Equal,,Abnormal
12+,Severe,yes,<5,Equal,Transp.,Congested
5-12,Severe,no,12+,Equal,Transp.,Normal
5-12,Moderate,yes,5-12,Equal,Complete,Abnormal
5-12,Moderate,no,5-12,Equal,Mild,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
<5,Severe,no,5-12,Equal,Transp.,Normal
5-12,Severe,no,<5,Equal,Complete,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
<5,Moderate,no,5-12,Equal,Mild,Normal
12+,Moderate,no,5-12,Equal,Complete,Normal
5-12,Moderate,yes,5-12,Equal,Complete,Congested
5-12,Moderate,yes,<5,Equal,Complete,Abnormal
<5,Moderate,yes,5-12,Equal,Complete,Abnormal
5-12,Moderate,no,<5,Equal,Complete,Normal
<5,Severe,no,<5,Equal,Transp.,Normal
5-12,Moderate,no,5-12,Equal,Mild,Abnormal
<5,Severe,no,5-12,Equal,Mild,Normal
<5,Severe,yes,<5,Equal,Transp.,Abnormal
5-12,Severe,yes,<5,Equal,Complete,Abnormal
<5,Severe,no,12+,Equal,Transp.,Normal
<5,Moderate,no,<5,Unequal,Mild,Congested
<5,Moderate,yes,5-12,Unequal,Complete,Normal
<5,Moderate,no,5-12,Equal,Complete,Normal
12+,Mild,no,<5,Unequal,Complete,Normal
5-12,Severe,no,5-12,Equal,Complete,Normal
12+,Mild,no,12+,Equal,Complete,Normal
5-12,Severe,no,12+,Equal,Transp.,Normal
12+,Mild,no,12+,Equal,,Normal
<5,Severe,yes,5-12,Equal,Transp.,Abnormal
12+,Mild,no,<5,Equal,Complete,Normal
5-12,Moderate,no,12+,Equal,Transp.,Normal
<5,Severe,no,5-12,Equal,Transp.,Congested
5-12,Severe,yes,<5,Equal,Complete,Congested
5-12,Severe,yes,5-12,Equal,Complete,Abnormal
12+,Moderate,no,5-12,Equal,Transp.,Normal
<5,Severe,no,12+,Equal,Transp.,Normal
5-12,Moderate,yes,<5,Equal,Complete,Abnormal
5-12,Severe,no,5-12,Equal,Transp.,Normal
5-12,Severe,no,5-12,Equal,Complete,Normal
12+,Mild,no,12+,Equal,Complete,Normal
12+,Mild,no,5-12,Equal,Complete,Normal
5-12,Moderate,no,5-12,Equal,Complete,Congested
5-12,Moderate,no,<5,Equal,Complete,Normal
5-12,Moderate,no,5-12,Equal,Complete,Congested
5-12,Severe,no,5-12,Equal,Transp.,Normal
12+,Moderate,no,5-12,Equal,Transp.,Normal
5-12,Moderate,yes,5-12,Equal,Complete,Normal
12+,Moderate,yes,12+,Equal,Mild,Congested
<5,Severe,yes,<5,Equal,Complete,Normal
<5,Moderate,no,5-12,Equal,Complete,Normal
<5,Mild,yes,<5,Equal,Complete,Abnormal
<5,Severe,yes,<5,Equal,Complete,Abnormal
<5,Severe,no,12+,Equal,Complete,Congested
<5,Severe,no,5-12,Equal,Complete,Congested
5-12,Moderate,no,5-12,Equal,Complete,Normal
<5,Severe,yes,<5,Equal,Transp.,Abnormal
<5,Severe,no,5-12,Equal,Transp.,Normal
<5,Moderate,no,5-12,Equal,Complete,Abnormal
12+,Severe,no,<5,Equal,Transp.,Normal
<5,Severe,no,5-12,Equal,Complete,Normal
5-12,Severe,no,<5,Equal,Transp.,Normal
12+,Severe,no,5-12,Equal,Complete,Abnormal
<5,Severe,yes,<5,Equal,Mild,Abnormal
<5,Severe,no,<5,Equal,Complete,Normal
<5,Severe,no,5-12,Equal,Transp.,Normal
5-12,Moderate,no,5-12,Equal,Mild,Normal
5-12,Moderate,yes,<5,Unequal,,Abnormal
<5,Severe,no,12+,Equal,Transp.,Normal
<5,Moderate,no,12+,Equal,Mild,Normal
5-12,Severe,yes,5-12,Equal,Transp.,Normal
5-12,Moderate,no,5-12,Equal,Complete,Congested
5-12,Severe,no,<5,Equal,Transp.,Normal
5-12,Moderate,no,5-12,Equal,Mild,Normal
12+,Mild,no,12+,Equal,Complete,Normal
5-12,Moderate,no,<5,Equal,Complete,Normal
5-12,Severe,no,<5,Equal,Complete,Normal
5-12,Mild,no,5-12,Equal,Complete,Normal
<5,Severe,yes,<5,Equal,Mild,Congested
<5,Moderate,no,5-12,Equal,Complete,Normal
<5,Severe,no,5-12,Equal,Transp.,Normal
<5,Severe,no,12+,Equal,Transp.,Normal
12+,Moderate,no,5-12,Equal,Complete,Normal
12+,Moderate,no,5-12,Equal,Complete,Normal
5-12,Severe,yes,<5,Equal,Complete,Abnormal
5-12,Severe,no,<5,Equal,Complete,Normal
<5,Severe,yes,<5,Equal,,Abnormal
<5,Severe,yes,5-12,Equal,Transp.,Abnormal
<5,Mild,yes,12+,Unequal,,Abnormal
5-12,Moderate,no,5-12,Equal,Mild,Normal
<5,Severe,yes,<5,Unequal,,Abnormal
<5,Severe,no,<5,Equal,Transp.,Normal
12+,Moderate,yes,<5,Equal,Complete,Normal
<5,Moderate,yes,5-12,Equal,Complete,Congested
5-12,Severe,no,<5,Equal,Transp.,Normal
<5,Severe,no,<5,Equal,Transp.,Normal
<5,Moderate,no,5-12,Equal,Complete,Normal
12+,Mild,no,<5,Equal,,Abnormal
12+,Moderate,no,5-12,Equal,Complete,Normal
5-12,Severe,yes,12+,Equal,Transp.,Normal
5-12,Moderate,yes,5-12,Equal,Complete,Abnormal
<5,Moderate,no,12+,Equal,Complete,Normal
<5,Severe,no,<5,Equal,Transp.,Normal
5-12,Moderate,yes,<5,Equal,Mild,Abnormal
12+,Mild,no,12+,Equal,,Normal
<5,Severe,no,<5,Equal,Transp.,Normal
5-12,Severe,no,12+,Equal,Transp.,Normal
5-12,Moderate,no,12+,Equal,Transp.,Normal
5-12,Severe,no,<5,Unequal,Transp.,Normal
12+,Severe,yes,5-12,Equal,Transp.,Abnormal
5-12,Severe,no,5-12,Equal,Transp.,Normal
12+,Mild,no,5-12,Equal,,Normal
<5,Severe,no,<5,Unequal,Transp.,Normal
5-12,Severe,no,<5,Equal,,Abnormal
<5,Severe,no,<5,Equal,Complete,Normal
5-12,Severe,yes,<5,Equal,Complete,Abnormal
<5,Severe,no,12+,Equal,Transp.,Abnormal
<5,Moderate,yes,<5,Equal,Complete,Abnormal
12+,Mild,no,5-12,Equal,Complete,Normal
5-12,Moderate,no,<5,Unequal,Complete,Normal
5-12,Mild,no,5-12,Unequal,Transp.,Normal
<5,Severe,no,5-12,Equal,Transp.,Normal
5-12,Moderate,no,5-12,Unequal,Transp.,Normal
5-12,Moderate,no,<5,Unequal,Mild,Normal
<5,Moderate,no,5-12,Equal,Complete,Normal
<5,Severe,no,12+,Equal,Transp.,Normal
5-12,Severe,no,<5,Equal,Mild,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
5-12,Severe,yes,5-12,Equal,Complete,Abnormal
<5,Moderate,no,<5,Equal,Complete,Congested
5-12,Moderate,no,<5,Equal,Complete,Normal
<5,Moderate,no,5-12,Equal,Mild,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
5-12,Moderate,no,5-12,Equal,Transp.,Normal
12+,Mild,no,5-12,Equal,Complete,Normal
5-12,Severe,yes,5-12,Equal,Transp.,Normal
5-12,Severe,no,5-12,Equal,Transp.,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
5-12,Severe,no,5-12,Equal,Transp.,Normal
5-12,Severe,no,5-12,Equal,Transp.,Abnormal
5-12,Mild,no,<5,Unequal,,Normal
5-12,Moderate,no,<5,Equal,Complete,Normal
5-12,Severe,no,<5,Equal,Complete,Abnormal
5-12,Severe,no,5-12,Equal,Transp.,Normal
5-12,Moderate,no,5-12,Unequal,Mild,Normal
12+,Mild,no,12+,Equal,Complete,Normal
<5,Moderate,no,5-12,Equal,Complete,Normal
<5,Severe,no,5-12,Equal,Transp.,Normal
<5,Severe,no,<5,Equal,Transp.,Normal
5-12,Moderate,no,5-12,Equal,Complete,Abnormal
5-12,Mild,no,5-12,Equal,Transp.,Normal
5-12,Moderate,no,5-12,Equal,Complete,Normal
12+,Mild,no,5-12,Equal,Complete,Normal
<5,Severe,no,12+,Equal,Transp.,Normal
12+,Severe,no,5-12,Equal,Complete,Normal
5-12,Severe,no,5-12,Equal,Transp.,Normal
5-12,Severe,no,5-12,Equal,Transp.,Normal
5-12,Severe,yes,<5,Equal,Transp.,Normal
5-12,Mild,no,12+,Equal,Complete,Normal
<5,Severe,yes,5-12,Equal,Complete,Abnormal
12+,Severe,no,<5,Equal,Complete,Normal
5-12,Severe,no,<5,Equal,Transp.,Normal
5-12,Moderate,no,12+,Equal,Complete,Normal
5-12,Moderate,yes,5-12,Equal,Complete,Abnormal
5-12,Moderate,no,5-12,Equal,Complete,Congested
<5,Moderate,no,12+,Equal,Complete,Normal
<5,Severe,no,5-12,Equal,Complete,Normal
5-12,Moderate,no,5-12,Equal,Mild,Normal
<5,Severe,no,<5,Equal,Transp.,Normal
12+,Mild,no,12+,Equal,Complete,Normal
<5,Severe,no,5-12,Equal,Transp.,Normal
<5,Moderate,no,<5,Equal,Mild,Normal
5-12,Moderate,yes,<5,Equal,Complete,Normal
<5,Moderate,yes,5-12,Equal,Complete,Abnormal
12+,Mild,no,12+,Equal,,Normal
<5,Severe,no,<5,Equal,Complete,Normal
<5,Severe,yes,5-12,Equal,Transp.,Abnormal
<5,Severe,no,<5,Equal,Transp.,Normal
5-12,Severe,yes,<5,Equal,Complete,Abnormal
<5,Severe,no,5-12,Equal,Complete,Normal
<5,Moderate,no,5-12,Equal,Complete,Congested
5-12,Moderate,yes,<5,Equal,Mild,Abnormal
