HRBP,ERRCAUTER,INSUFFANESTH,INTUBATION,MINVOL,HRSAT,HREKG,VENTALV,SHUNT,VENTLUNG,ARTCO2,HR,FIO2,HYPOVOLEMIA,STROKEVOLUME,ERRLOWOUTPUT,HISTORY
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,True,LOW,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,ZERO,NORMAL,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,True,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,True,False,NORMAL,ZERO,NORMAL,LOW,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,True,NORMAL,False,False
HIGH,True,False,NORMAL,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,True,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,True,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
LOW,False,False,NORMAL,HIGH,LOW,LOW,HIGH,NORMAL,LOW,LOW,NORMAL,NORMAL,False,LOW,False,False
HIGH,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,False,NORMAL,False,False
HIGH,True,False,NORMAL,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,False,LOW,True,False
HIGH,False,False,NORMAL,ZERO,HIGH,LOW,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,True,LOW,False,False
HIGH,True,True,NORMAL,ZERO,LOW,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
LOW,False,False,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,True,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,True,LOW,False,False
LOW,False,False,NORMAL,HIGH,LOW,LOW,HIGH,NORMAL,LOW,LOW,NORMAL,NORMAL,False,NORMAL,False,False
LOW,False,True,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,False,NORMAL,False,False
NORMAL,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
LOW,False,False,NORMAL,ZERO,HIGH,LOW,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,LOW,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,LOW,False,False
HIGH,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,False,HIGH,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,True,LOW,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,True,LOW,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,LOW,False,True
HIGH,False,False,ESOPHAGEAL,ZERO,HIGH,HIGH,ZERO,NORMAL,LOW,HIGH,HIGH,NORMAL,True,LOW,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,LOW,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
LOW,False,False,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,LOW,NORMAL,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,ZERO,NORMAL,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,True,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
LOW,False,False,NORMAL,HIGH,LOW,LOW,HIGH,NORMAL,LOW,LOW,NORMAL,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,ZERO,NORMAL,HIGH,NORMAL,False,NORMAL,False,False
HIGH,True,False,NORMAL,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,True,NORMAL,False,False
LOW,True,True,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,True,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,LOW,False,False
HIGH,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,ONESIDED,NORMAL,HIGH,HIGH,NORMAL,HIGH,ZERO,NORMAL,HIGH,NORMAL,True,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,NORMAL,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,LOW,False,True
HIGH,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,True,NORMAL,False,False
LOW,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,True,LOW,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
LOW,False,False,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,False,NORMAL,False,True
NORMAL,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,True,False
LOW,False,False,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,LOW,False,NORMAL,False,False
HIGH,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,False,HIGH,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
LOW,False,False,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,False,NORMAL,False,False
HIGH,False,True,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,False,NORMAL,False,False
NORMAL,False,True,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,True,False
HIGH,False,False,ONESIDED,NORMAL,HIGH,HIGH,NORMAL,HIGH,ZERO,NORMAL,HIGH,NORMAL,True,NORMAL,False,False
LOW,False,False,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,False,NORMAL,False,False
LOW,False,False,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,True,NORMAL,False,False
HIGH,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
LOW,True,False,NORMAL,HIGH,LOW,HIGH,HIGH,NORMAL,LOW,LOW,NORMAL,NORMAL,True,LOW,False,False
LOW,False,True,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,True,LOW,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
LOW,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,True
LOW,False,True,NORMAL,HIGH,LOW,LOW,HIGH,NORMAL,LOW,LOW,NORMAL,NORMAL,False,NORMAL,False,False
HIGH,False,True,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,LOW,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,LOW,False,True
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,True,False,NORMAL,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,NORMAL,LOW,NORMAL,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,NORMAL,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,ZERO,NORMAL,HIGH,NORMAL,True,LOW,False,False
HIGH,True,False,NORMAL,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,True,NORMAL,False,False
HIGH,False,False,NORMAL,HIGH,HIGH,HIGH,ZERO,NORMAL,LOW,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
LOW,False,False,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,True,LOW,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,ONESIDED,LOW,HIGH,HIGH,LOW,HIGH,LOW,HIGH,HIGH,NORMAL,False,NORMAL,False,False
LOW,False,False,ONESIDED,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,NORMAL,NORMAL,NORMAL,True,LOW,False,True
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,True,NORMAL,False,False
HIGH,False,False,ESOPHAGEAL,LOW,HIGH,HIGH,LOW,NORMAL,ZERO,HIGH,HIGH,NORMAL,True,LOW,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
NORMAL,False,True,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,True,False
LOW,False,False,NORMAL,HIGH,LOW,LOW,HIGH,NORMAL,LOW,LOW,NORMAL,NORMAL,True,LOW,False,True
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,True,LOW,False,True
LOW,False,False,NORMAL,HIGH,LOW,LOW,HIGH,NORMAL,LOW,LOW,NORMAL,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
LOW,False,False,NORMAL,HIGH,LOW,LOW,HIGH,NORMAL,LOW,LOW,NORMAL,NORMAL,False,NORMAL,False,False
HIGH,True,False,NORMAL,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,True,NORMAL,False,False
HIGH,False,False,ONESIDED,NORMAL,HIGH,HIGH,NORMAL,HIGH,ZERO,NORMAL,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,False,NORMAL,False,False
LOW,True,False,NORMAL,HIGH,NORMAL,HIGH,HIGH,NORMAL,LOW,LOW,NORMAL,NORMAL,False,NORMAL,False,False
HIGH,True,False,NORMAL,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,True,LOW,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,True,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,NORMAL,HIGH,NORMAL,False,NORMAL,False,False
LOW,False,False,NORMAL,NORMAL,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,LOW,False,NORMAL,False,False
HIGH,False,False,NORMAL,LOW,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
LOW,False,False,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,LOW,False,True
HIGH,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,HIGH,False,False
HIGH,True,False,NORMAL,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,ESOPHAGEAL,LOW,HIGH,HIGH,LOW,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,True,NORMAL,LOW,HIGH,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,False,NORMAL,False,False
LOW,False,False,NORMAL,HIGH,LOW,LOW,HIGH,NORMAL,LOW,LOW,NORMAL,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,True,HIGH,False,False
LOW,False,False,ESOPHAGEAL,ZERO,LOW,LOW,ZERO,NORMAL,LOW,HIGH,NORMAL,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,True,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,HIGH,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
LOW,False,False,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,False,NORMAL,False,False
LOW,False,False,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,False,NORMAL,True,False
LOW,False,True,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,HIGH,False,False
HIGH,False,False,NORMAL,ZERO,NORMAL,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,True,LOW,False,False
LOW,True,False,NORMAL,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,True,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,True,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
NORMAL,False,True,NORMAL,ZERO,HIGH,LOW,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,True,NORMAL,False,False
LOW,False,False,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,LOW,NORMAL,NORMAL,False,NORMAL,False,False
HIGH,False,False,ONESIDED,NORMAL,HIGH,HIGH,NORMAL,HIGH,ZERO,NORMAL,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,HIGH,HIGH,HIGH,ZERO,NORMAL,LOW,HIGH,HIGH,NORMAL,False,NORMAL,False,False
LOW,False,False,NORMAL,ZERO,LOW,LOW,HIGH,NORMAL,ZERO,LOW,NORMAL,NORMAL,False,NORMAL,False,False
LOW,False,False,NORMAL,HIGH,LOW,LOW,HIGH,NORMAL,LOW,LOW,NORMAL,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,True,LOW,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,True,False,NORMAL,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,HIGH,False,False
NORMAL,False,True,NORMAL,LOW,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,LOW,True,True
LOW,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,False,NORMAL,False,False
LOW,False,True,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,True,LOW,False,False
LOW,False,False,NORMAL,HIGH,LOW,LOW,HIGH,NORMAL,LOW,LOW,NORMAL,NORMAL,True,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,True,LOW,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,HIGH,HIGH,NORMAL,HIGH,NORMAL,LOW,NORMAL,HIGH,LOW,True,NORMAL,False,False
HIGH,True,False,NORMAL,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,True,LOW,False,True
NORMAL,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,True,NORMAL,True,False
LOW,False,False,NORMAL,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,NORMAL,False,NORMAL,False,False
LOW,False,False,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
HIGH,False,False,ONESIDED,NORMAL,HIGH,HIGH,NORMAL,HIGH,ZERO,NORMAL,HIGH,LOW,False,NORMAL,False,False
LOW,False,False,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,False,NORMAL,False,False
NORMAL,False,False,ONESIDED,ZERO,HIGH,HIGH,LOW,HIGH,LOW,HIGH,HIGH,LOW,True,NORMAL,False,False
HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,False,False
